Origin,Destination,Aircraft_Code,Engine_Code,Distance_km,Fuel_Burn_kg,CO2_kg,Weather_Penalty_Index,Adjusted_Fuel_Burn_kg,Adjusted_CO2_kg,Callsign,FlightDate,Holding_Loop_Detected,Altitude_Drift,Unplanned_Reroute,Deviation_km,RTK,CO2_per_RTK,Predicted_CO2_per_RTK,esg_match_percent,SHAP_Top_Feature,route_efficiency_score,fuel_savings_if_alt_route,recommended_reroute_flag,suggested_reroute_distance_km,suggested_reroute_co2_saving_kg,ESG_Benchmark_Score,Seat_Count,Estimated_Passengers,ASK,RPK,Revenue,Yield_USD_per_RPK,callsign,number,aircraft_uid,typecode,origin,destination,firstseen,lastseen,day,latitude_1,longitude_1,altitude_1,latitude_2,longitude_2,altitude_2,load_factor
VIDP,OMDB,B77W,GE90-115B,2183.5981570754825,33940.82217797798,107252.9980824104,0.0524052751290026,1602.1524121697043,5062.801622456265,EY3247,2027-01-20,1,,False,0.0,196523.83,562.64,0.5337429692165399,97.27751919188272,Distance_km,1.0,0.0,0.0,2183.5981570754825,0.0,PASS,368.0,296,803564.1218037775,642851.2974430221,77142.15569316265,0.12,,,,,,,,,,,,,,,,0.8040783943279719
VRMM,OMDB,B77W,GE90-115B,3040.7766919697865,45925.02924803686,145123.09242379648,0.0502747294398032,2157.1477980361074,6816.5870417941,EY9161,2025-12-26,1,,True,234.15727588923423,273669.9,544.0,0.5207892023836797,94.93269630608826,Distance_km,0.923,147.99,0.0,2806.619416080552,147.99,PASS,368.0,315,1119005.8226448814,895204.6581159052,107424.55897390864,0.12,,,,,,,,,,,,,,,,0.8548349373587055
VECC,OMDB,B77W,GE90-115B,3365.806645906652,50833.9757617544,160635.3634071439,0.0232506756028035,2387.416084115892,7544.234825806218,EY5379,2026-10-21,1,,False,0.0,302922.6,543.93,0.5316668188672409,97.7336869826389,Distance_km,1.0,0.0,0.0,3365.806645906652,0.0,PASS,368.0,283,1238616.845693648,990893.4765549186,118907.21718659022,0.12,,,,,,,,,,,,,,,,0.7701113206454884
VRMM,OMDB,B77W,GE90-115B,3040.7766919697865,45925.02924803686,145123.09242379648,0.0648456572624277,2154.782376721202,6809.112310438999,EY2320,2025-06-06,1,,False,0.0,273669.9,543.4,0.536925273769315,95.79860927569575,Distance_km,1.0,0.0,0.0,3040.7766919697865,0.0,PASS,368.0,306,1119005.8226448814,895204.6581159052,107424.55897390864,0.12,,,,,,,,,,,,,,,,0.8301854576876874
VIDP,OMDB,B77W,GE90-115B,2183.5981570754825,33940.82217797798,107252.9980824104,0.0502124524695431,1588.4463589136426,5019.490494167111,EY9315,2025-11-11,1,,False,0.0,196523.83,557.83,0.5161978567165132,95.29190797841228,Distance_km,1.0,0.0,0.0,2183.5981570754825,0.0,PASS,368.0,313,803564.1218037775,642851.2974430221,77142.15569316265,0.12,,,,,,,,,,,,,,,,0.8516609444253281
HECA,OMDB,B77W,GE90-115B,2415.4452915944203,36480.61232396768,115278.73494373786,0.0365023835536791,1731.3138973274047,5470.951915554599,EY9427,2027-06-11,1,,False,0.0,217390.08,549.64,0.5190931413610498,93.24289487822492,Distance_km,1.0,0.0,0.0,2415.4452915944203,0.0,PASS,368.0,291,888883.8673067467,711107.0938453975,85332.8512614477,0.12,,,,,,,,,,,,,,,,0.791514928069142
VRMM,OMDB,B77W,GE90-115B,3040.7766919697865,45925.02924803686,145123.09242379648,0.0200102972439672,2152.4536603633387,6801.75356674815,EY3916,2027-04-07,1,,False,0.0,273669.9,542.81,0.5093111018040892,93.52794967611926,Distance_km,1.0,0.0,0.0,3040.7766919697865,0.0,PASS,368.0,303,1119005.8226448814,895204.6581159052,107424.55897390864,0.12,,,,,,,,,,,,,,,,0.8225450740540639
OERK,OMDB,B77W,GE90-115B,873.0082487769301,13569.629391577411,42880.02887738463,0.0689627459314246,640.4496845896928,2023.8210033034293,EY4170,2027-06-22,1,,False,0.0,78570.74,562.56,0.5145429089330716,94.4591628671224,Distance_km,1.0,0.0,0.0,873.0082487769301,0.0,PASS,368.0,311,321267.0355499103,257013.62843992823,30841.63541279139,0.12,,,,,,,,,,,,,,,,0.8459646035305799
EHAM,OMDB,B77W,GE90-115B,5168.63641597926,80338.85215049174,253870.772795554,0.0483857084260042,3776.7010496751664,11934.375316973528,EY4251,2026-07-14,1,,False,0.0,465177.28,560.32,0.5122296527253712,94.22535554513205,Distance_km,1.0,0.0,0.0,5168.63641597926,0.0,PASS,368.0,291,1902058.201080368,1521646.5608642944,182597.5873037153,0.12,,,,,,,,,,,,,,,,0.7918218933269564
OERK,OMDB,B77W,GE90-115B,873.0082487769301,13185.094934704375,41664.89999366583,0.0367883924325509,627.265147150692,1982.157864996187,EY5435,2026-08-06,1,,False,0.0,78570.74,550.98,0.5212035585291591,94.8497142823131,Distance_km,1.0,0.0,0.0,873.0082487769301,0.0,PASS,368.0,293,321267.0355499103,257013.62843992823,30841.63541279139,0.12,,,,,,,,,,,,,,,,0.7964158240958489
